x_A, x_B, x_C, y_A, y_B, y_C
0.0, 0.0, 0.0, 0.0,0.0, 0.0, 
0.3854323648997713, 0.4307773490056267, 0.4761223331114822,  0.22252947962927697,0.2487094184091919, 0.27488935718910684, 
0.4450589592585541, 0.49741883681838395, 0.5497787143782139,  0.7708647297995425, 0.8615546980112533, 0.9522446662229643, 
8.175600448317607e-17, 9.137435795178501e-17, 1.0099271142039396e-16, 1.335176877775662, 1.4922565104551517, 1.6493361431346414, 
-0.8901179185171075, -0.9948376736367672,-1.0995574287564271, 1.5417294595990851, 1.7231093960225068, 1.9044893324459289, 
-1.9271618244988566,  -2.153886745028134, -2.3806116655574114, 1.112647398146385, 1.2435470920459595, 1.3744467859455345, 
-2.670353755551324, -2.9845130209103035, -3.2986722862692828, 3.2702401793270426e-16, 3.6549743180714006e-16, 4.0397084568157585e-16, 
-2.698026554298399, -3.0154414430393874, -3.3328563317803757, -1.5577063574049381, -1.7409659288643426, -1.9242255003237472,
-1.7802358370342175, -1.9896753472735371,-2.199114857512857, -3.0834589191981694, -3.4462187920450127,  -3.8089786648918564, 
-7.358040403485845e-16, -8.22369221566065e-16, -9.089344027835458e-16, -4.005530633326986, -4.476769531365455, -4.948008429403925,
2.2252947962927707, 2.48709418409192, 2.74889357189107,-3.854323648997713,-4.307773490056267,  -4.761223331114822, 
4.239756013897482, 4.738550839061892,  5.237345664226302,   -2.447824275922049, -2.7358036025011137,-3.0237829290801783,
5.340707511102648, 5.969026041820607, 6.5973445725385655, -1.308096071730817e-15, -1.4619897272285602e-15,  -1.6158833827263034e-15, 
5.010620743697026, 5.600105537073147, 6.189590330449268,  2.892883235180601, 3.2332224393194955, 3.57356164345839, 
3.1154127148098816, 3.481931857728691,  3.848451000647501, 5.396053108596796, 6.030882886078771,6.665712663560749, 
2.0439001120794018e-15, 2.2843589487946254e-15,2.5248177855098494e-15,6.67588438887831,  7.461282552275758, 8.246680715673207, 
-3.5604716740684266,  -3.9793506945470645,  -4.398229715025703, 6.166917838396343, 6.892437584090031, 7.617957329783719, 
-6.552350203296113, -7.323214933095656, -8.094079662895199, 3.7830011536977075, 4.228060112956261, 4.673119072214816, 
-8.011061266653972, -8.95353906273091, -9.89601685880785, 2.943216161394338e-15, 3.28947688626426e-15, 3.635737611134183e-15, 
-7.323214933095659, -8.184769631106912, -9.046324329118168, -4.228060112956256, -4.725478949774638, -5.222897786593022, 
-4.450589592585539, -4.974188368183837, -5.497787143782137, -7.708647297995427, -8.615546980112535,-9.522446662229646, 
-4.0060442196756274e-15, -4.477343539637465e-15, -4.9486428595993046e-15, -9.346238144429634, -10.44579557318606,-11.545353001942491, 
4.895648551844085, 5.471607205002213, 6.047565858160341, -8.479512027794971, -9.477101678123793, -10.474691328452613, 
8.86494439269474, 9.907879027129416,10.95081366156409, -5.118178031473371, -5.7203166234114144, -6.322455215349457, 
10.681415022205297,  11.938052083641214, 13.194689145077131,-5.232384286923268e-15, -5.847958908914241e-15, -6.463533530905214e-15 
